,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,Infected,Resistant,Susceptible,Susceptible and Vaccinated,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
0,10,1,0.9,0.8,0.9,0,5,5,0,0,10,0.4,0.5,0.3
1,10,1,0.9,0.8,0.9,1,7,3,0,0,10,0.4,0.5,0.3
2,10,1,0.9,0.8,0.9,2,8,2,0,0,10,0.4,0.5,0.3
3,10,1,0.9,0.8,0.9,3,7,3,0,0,10,0.4,0.5,0.3
4,10,1,0.9,0.8,0.9,4,8,2,0,0,10,0.4,0.5,0.3
5,10,1,0.9,0.8,0.9,5,5,5,0,0,10,0.4,0.5,0.3
6,10,1,0.9,0.8,0.9,6,4,6,0,0,10,0.4,0.5,0.3
7,10,1,0.9,0.8,0.9,7,9,1,0,0,10,0.4,0.5,0.3
8,10,1,0.9,0.8,0.9,8,7,3,0,0,10,0.4,0.5,0.3
9,10,1,0.9,0.8,0.9,9,7,3,0,0,10,0.4,0.5,0.3
10,10,1,0.7,0.8,0.9,10,10,0,0,0,10,0.4,0.5,0.3
11,10,1,0.7,0.8,0.9,11,2,8,0,0,10,0.4,0.5,0.3
12,10,1,0.7,0.8,0.9,12,6,4,0,0,10,0.4,0.5,0.3
13,10,1,0.7,0.8,0.9,13,9,1,0,0,10,0.4,0.5,0.3
14,10,1,0.7,0.8,0.9,14,7,3,0,0,10,0.4,0.5,0.3
15,10,1,0.7,0.8,0.9,15,4,6,0,0,10,0.4,0.5,0.3
16,10,1,0.7,0.8,0.9,16,6,4,0,0,10,0.4,0.5,0.3
17,10,1,0.7,0.8,0.9,17,8,2,0,0,10,0.4,0.5,0.3
18,10,1,0.7,0.8,0.9,18,7,3,0,0,10,0.4,0.5,0.3
19,10,1,0.7,0.8,0.9,19,5,5,0,0,10,0.4,0.5,0.3
20,10,1,0.5,0.8,0.9,20,0,1,1,8,10,0.4,0.5,0.3
21,10,1,0.5,0.8,0.9,21,7,3,0,0,10,0.4,0.5,0.3
22,10,1,0.5,0.8,0.9,22,4,6,0,0,10,0.4,0.5,0.3
23,10,1,0.5,0.8,0.9,23,3,4,0,3,10,0.4,0.5,0.3
24,10,1,0.5,0.8,0.9,24,1,1,0,8,10,0.4,0.5,0.3
25,10,1,0.5,0.8,0.9,25,6,4,0,0,10,0.4,0.5,0.3
26,10,1,0.5,0.8,0.9,26,6,4,0,0,10,0.4,0.5,0.3
27,10,1,0.5,0.8,0.9,27,10,0,0,0,10,0.4,0.5,0.3
28,10,1,0.5,0.8,0.9,28,7,2,0,1,10,0.4,0.5,0.3
29,10,1,0.5,0.8,0.9,29,7,3,0,0,10,0.4,0.5,0.3
30,20,1,0.9,0.8,0.9,30,10,10,0,0,10,0.4,0.5,0.3
31,20,1,0.9,0.8,0.9,31,13,7,0,0,10,0.4,0.5,0.3
32,20,1,0.9,0.8,0.9,32,12,8,0,0,10,0.4,0.5,0.3
33,20,1,0.9,0.8,0.9,33,15,5,0,0,10,0.4,0.5,0.3
34,20,1,0.9,0.8,0.9,34,13,7,0,0,10,0.4,0.5,0.3
35,20,1,0.9,0.8,0.9,35,13,7,0,0,10,0.4,0.5,0.3
36,20,1,0.9,0.8,0.9,36,7,12,0,1,10,0.4,0.5,0.3
37,20,1,0.9,0.8,0.9,37,11,9,0,0,10,0.4,0.5,0.3
38,20,1,0.9,0.8,0.9,38,12,8,0,0,10,0.4,0.5,0.3
39,20,1,0.9,0.8,0.9,39,15,5,0,0,10,0.4,0.5,0.3
40,20,1,0.7,0.8,0.9,40,12,6,0,2,10,0.4,0.5,0.3
41,20,1,0.7,0.8,0.9,41,14,6,0,0,10,0.4,0.5,0.3
42,20,1,0.7,0.8,0.9,42,11,9,0,0,10,0.4,0.5,0.3
43,20,1,0.7,0.8,0.9,43,13,7,0,0,10,0.4,0.5,0.3
44,20,1,0.7,0.8,0.9,44,10,7,0,3,10,0.4,0.5,0.3
45,20,1,0.7,0.8,0.9,45,10,10,0,0,10,0.4,0.5,0.3
46,20,1,0.7,0.8,0.9,46,14,6,0,0,10,0.4,0.5,0.3
47,20,1,0.7,0.8,0.9,47,13,7,0,0,10,0.4,0.5,0.3
48,20,1,0.7,0.8,0.9,48,11,9,0,0,10,0.4,0.5,0.3
49,20,1,0.7,0.8,0.9,49,14,6,0,0,10,0.4,0.5,0.3
50,20,1,0.5,0.8,0.9,50,9,5,0,6,10,0.4,0.5,0.3
51,20,1,0.5,0.8,0.9,51,10,6,0,4,10,0.4,0.5,0.3
52,20,1,0.5,0.8,0.9,52,15,4,0,1,10,0.4,0.5,0.3
53,20,1,0.5,0.8,0.9,53,13,5,0,2,10,0.4,0.5,0.3
54,20,1,0.5,0.8,0.9,54,8,12,0,0,10,0.4,0.5,0.3
55,20,1,0.5,0.8,0.9,55,9,2,0,9,10,0.4,0.5,0.3
56,20,1,0.5,0.8,0.9,56,11,8,0,1,10,0.4,0.5,0.3
57,20,1,0.5,0.8,0.9,57,16,4,0,0,10,0.4,0.5,0.3
58,20,1,0.5,0.8,0.9,58,14,6,0,0,10,0.4,0.5,0.3
59,20,1,0.5,0.8,0.9,59,12,7,0,1,10,0.4,0.5,0.3
60,40,1,0.9,0.8,0.9,60,24,16,0,0,10,0.4,0.5,0.3
61,40,1,0.9,0.8,0.9,61,26,14,0,0,10,0.4,0.5,0.3
62,40,1,0.9,0.8,0.9,62,30,9,0,1,10,0.4,0.5,0.3
63,40,1,0.9,0.8,0.9,63,30,10,0,0,10,0.4,0.5,0.3
64,40,1,0.9,0.8,0.9,64,26,14,0,0,10,0.4,0.5,0.3
65,40,1,0.9,0.8,0.9,65,27,13,0,0,10,0.4,0.5,0.3
66,40,1,0.9,0.8,0.9,66,22,16,0,2,10,0.4,0.5,0.3
67,40,1,0.9,0.8,0.9,67,31,9,0,0,10,0.4,0.5,0.3
68,40,1,0.9,0.8,0.9,68,22,18,0,0,10,0.4,0.5,0.3
69,40,1,0.9,0.8,0.9,69,23,17,0,0,10,0.4,0.5,0.3
70,40,1,0.7,0.8,0.9,70,27,13,0,0,10,0.4,0.5,0.3
71,40,1,0.7,0.8,0.9,71,26,12,0,2,10,0.4,0.5,0.3
72,40,1,0.7,0.8,0.9,72,24,16,0,0,10,0.4,0.5,0.3
73,40,1,0.7,0.8,0.9,73,26,13,0,1,10,0.4,0.5,0.3
74,40,1,0.7,0.8,0.9,74,30,10,0,0,10,0.4,0.5,0.3
75,40,1,0.7,0.8,0.9,75,30,9,0,1,10,0.4,0.5,0.3
76,40,1,0.7,0.8,0.9,76,23,16,0,1,10,0.4,0.5,0.3
77,40,1,0.7,0.8,0.9,77,25,13,0,2,10,0.4,0.5,0.3
78,40,1,0.7,0.8,0.9,78,34,6,0,0,10,0.4,0.5,0.3
79,40,1,0.7,0.8,0.9,79,0,1,8,31,10,0.4,0.5,0.3
80,40,1,0.5,0.8,0.9,80,21,12,0,7,10,0.4,0.5,0.3
81,40,1,0.5,0.8,0.9,81,17,4,0,19,10,0.4,0.5,0.3
82,40,1,0.5,0.8,0.9,82,19,9,0,12,10,0.4,0.5,0.3
83,40,1,0.5,0.8,0.9,83,28,11,0,1,10,0.4,0.5,0.3
84,40,1,0.5,0.8,0.9,84,21,17,0,2,10,0.4,0.5,0.3
85,40,1,0.5,0.8,0.9,85,32,7,0,1,10,0.4,0.5,0.3
86,40,1,0.5,0.8,0.9,86,22,14,0,4,10,0.4,0.5,0.3
87,40,1,0.5,0.8,0.9,87,28,11,0,1,10,0.4,0.5,0.3
88,40,1,0.5,0.8,0.9,88,29,7,0,4,10,0.4,0.5,0.3
89,40,1,0.5,0.8,0.9,89,26,12,0,2,10,0.4,0.5,0.3
90,100,1,0.9,0.8,0.9,90,63,33,0,4,10,0.4,0.5,0.3
91,100,1,0.9,0.8,0.9,91,71,27,0,2,10,0.4,0.5,0.3
92,100,1,0.9,0.8,0.9,92,58,40,0,2,10,0.4,0.5,0.3
93,100,1,0.9,0.8,0.9,93,74,26,0,0,10,0.4,0.5,0.3
94,100,1,0.9,0.8,0.9,94,64,29,0,7,10,0.4,0.5,0.3
95,100,1,0.9,0.8,0.9,95,83,11,0,6,10,0.4,0.5,0.3
96,100,1,0.9,0.8,0.9,96,69,28,0,3,10,0.4,0.5,0.3
97,100,1,0.9,0.8,0.9,97,65,28,0,7,10,0.4,0.5,0.3
98,100,1,0.9,0.8,0.9,98,66,32,0,2,10,0.4,0.5,0.3
99,100,1,0.9,0.8,0.9,99,67,33,0,0,10,0.4,0.5,0.3
100,100,1,0.7,0.8,0.9,100,69,29,0,2,10,0.4,0.5,0.3
101,100,1,0.7,0.8,0.9,101,69,29,0,2,10,0.4,0.5,0.3
102,100,1,0.7,0.8,0.9,102,54,7,0,39,10,0.4,0.5,0.3
103,100,1,0.7,0.8,0.9,103,59,5,0,36,10,0.4,0.5,0.3
104,100,1,0.7,0.8,0.9,104,68,26,0,6,10,0.4,0.5,0.3
105,100,1,0.7,0.8,0.9,105,66,27,0,7,10,0.4,0.5,0.3
106,100,1,0.7,0.8,0.9,106,60,37,0,3,10,0.4,0.5,0.3
107,100,1,0.7,0.8,0.9,107,68,30,0,2,10,0.4,0.5,0.3
108,100,1,0.7,0.8,0.9,108,75,22,0,3,10,0.4,0.5,0.3
109,100,1,0.7,0.8,0.9,109,66,32,0,2,10,0.4,0.5,0.3
110,100,1,0.5,0.8,0.9,110,61,27,0,12,10,0.4,0.5,0.3
111,100,1,0.5,0.8,0.9,111,59,20,0,21,10,0.4,0.5,0.3
112,100,1,0.5,0.8,0.9,112,58,15,0,27,10,0.4,0.5,0.3
113,100,1,0.5,0.8,0.9,113,65,14,0,21,10,0.4,0.5,0.3
114,100,1,0.5,0.8,0.9,114,65,23,0,12,10,0.4,0.5,0.3
115,100,1,0.5,0.8,0.9,115,60,19,0,21,10,0.4,0.5,0.3
116,100,1,0.5,0.8,0.9,116,68,17,0,15,10,0.4,0.5,0.3
117,100,1,0.5,0.8,0.9,117,71,18,0,11,10,0.4,0.5,0.3
118,100,1,0.5,0.8,0.9,118,52,22,0,26,10,0.4,0.5,0.3
119,100,1,0.5,0.8,0.9,119,63,26,0,11,10,0.4,0.5,0.3
