"Node","Cluster","Betweenness","Closeness","PageRank"
"zhejiang univ","1","1","0.0000736811081638668","0.0123683005038937"
"chinese univ hong kong","1","0","0.0000736756796581448","0.0065277141548328"
"nanjing univ","1","0","0.0000736756796581448","0.0065277141548328"
"univ sheffield","2","0","0.0000736756796581448","0.0065277141548328"
"univ york","2","1","0.0000736811081638668","0.0123683005038937"
"univ leeds","2","0","0.0000736756796581448","0.0065277141548328"
"univ michigan","3","6","0.0000769349130635483","0.0098712040661677"
"harvard univ","3","10","0.0000769585962752039","0.00930243925178914"
"univ groningen","3","11","0.0000769585962752039","0.0140222401404895"
"univ illinois","3","0","0.0000768994155644417","0.00546644816879924"
"princeton univ","3","15","0.0000769704433497537","0.0135387920576114"
"yale univ","3","0","0.0000769349130635483","0.00510717752366786"
"univ zurich","3","0","0.0000769230769230769","0.00524415448048333"
"indiana univ","3","0","0.0000769230769230769","0.00524415448048333"
"univ oxford","4","379","0.000165125495376486","0.0146017702995083"
"univ cambridge","4","535.993848257006","0.000166638893517747","0.0115523141181667"
"univ edinburgh","4","0","0.000164962058726493","0.00530366396652999"
"imperial coll london","4","0","0.000161681487469685","0.00363888596717089"
"kings coll london","4","136","0.000163478829491581","0.0153204087008366"
"boston univ","4","68","0.000163425396306586","0.0107292181814216"
"brown univ","4","0","0.000161629222563439","0.0046911247360061"
"king abdulaziz univ","4","0","0.000161681487469685","0.00363888596717089"
"univ southampton","4","0","0.000163371998039536","0.00689131985618104"
"univ washington","5","68","0.000163639338897071","0.00967506933927392"
"univ pittsburgh","5","68","0.000161917098445596","0.00869455971016924"
"northwestern univ","5","320","0.000165343915343915","0.00996273791163649"
"carnegie mellon univ","5","0","0.000160153747597694","0.00570541189286428"
"emory univ","5","134","0.00016366612111293","0.010597889484645"
"univ iowa","5","0","0.000161838485191779","0.00401245608680558"
"chongqing univ posts and telecommun","6","0","0.000160565189466924","0.00689911248678"
"univ sydney","6","198","0.000164041994750656","0.00782993195384707"
"southwest univ","6","135","0.000162337662337662","0.0145663968252053"
"sichuan univ","6","0","0.000160565189466924","0.00352235685911878"
"mcgill univ","7","1","0.0000736811081638668","0.0123683005038937"
"univ alberta","7","0","0.0000736756796581448","0.0065277141548328"
"univ montreal","7","0","0.0000736756796581448","0.0065277141548328"
"huazhong univ sci and technol","8","727.174242424243","0.00016739203213927","0.0220740398091504"
"univ virginia","8","332.395026026605","0.000167252048837598","0.00775343333342382"
"shanghai jiao tong univ","8","503.285718667298","0.000167700821734027","0.0154569574195034"
"univ hong kong","8","0","0.000166030217499585","0.00632493068245981"
"shandong univ","8","0","0.000165508109897385","0.00297690769865777"
"china univ geosci","8","0","0.000165508109897385","0.00297690769865777"
"city univ hong kong","8","746.423155791577","0.000167926112510495","0.0110168723320832"
"east china univ sci and technol","8","0","0.00016627868307283","0.00479646483318884"
"shanghai univ","8","684","0.000166694449074846","0.00941408917833324"
"univ newcastle","8","260","0.000165727543917799","0.00604824904790434"
"tohoku univ","9","0","0.0000730513551026372","0.00847457627118644"
"kyoto univ","9","0","0.0000730513551026372","0.00847457627118644"
"arizona state univ","10","1","0.0000736811081638668","0.0123683005038937"
"univ colorado","10","0","0.0000736756796581448","0.00757901969766377"