"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"USA","1228","0.216846","1004","224","0.182"
"CHINA","1057","0.186650","812","245","0.232"
"UNITED KINGDOM","328","0.057920","202","126","0.384"
"GERMANY","315","0.055624","215","100","0.317"
"ITALY","247","0.043616","184","63","0.255"
"FRANCE","184","0.032492","118","66","0.359"
"JAPAN","165","0.029137","148","17","0.103"
"SPAIN","165","0.029137","108","57","0.345"
"BRAZIL","157","0.027724","121","36","0.229"
"INDIA","147","0.025958","124","23","0.156"
"CANADA","142","0.025075","84","58","0.408"
"AUSTRALIA","121","0.021367","71","50","0.413"
"NETHERLANDS","120","0.021190","78","42","0.350"
"IRAN","119","0.021014","100","19","0.160"
"KOREA","96","0.016952","71","25","0.260"
"TURKEY","87","0.015363","73","14","0.161"
"POLAND","62","0.010948","52","10","0.161"
"MEXICO","56","0.009889","44","12","0.214"
"SWITZERLAND","56","0.009889","35","21","0.375"
"ARGENTINA","45","0.007946","33","12","0.267"