"word","Dim.1","Dim.2","cluster"
"behavior","-0.38","-0.33","1"
"dynamics","-0.18","-1.05","1"
"model","-0.32","-0.38","1"
"simulation","-0.55","-0.16","1"
"systems","0.07","-0.42","1"
"agents","1.26","0.63","2"
"networks","1.63","-0.67","2"
"evolution","-0.4","-1.93","1"
"design","0.44","0.4","1"
"consensus","2.71","-0.17","2"
"performance","-0.29","-0.2","1"
"models","-0.19","-0.79","1"
"system","-0.47","0.23","1"
"multiagent.systems","3.25","0.02","2"
"in.vitro","-0.25","1.22","1"
"diffusion","-0.42","-0.82","1"
"management","-0.45","-0.38","1"
"stability","1.64","0.16","2"
"emergence","-0.38","-2.02","1"
"optimization","0.25","0.11","1"
"impact","-0.44","-0.38","1"
"information","0.22","-1.42","1"
"growth","-0.6","0.81","1"
"coordination","2.96","0","2"
"water","-0.44","1.61","1"
"cooperation","-0.3","-2.81","1"
"risk","-0.36","0.05","1"
"decision.making","-0.42","-1.47","1"
"flow","-0.44","0.41","1"
"adsorption","-0.51","2.05","1"
"mechanism","-0.4","1.22","1"
"kinetics","-0.46","1.09","1"
"synchronization","3.65","-0.08","2"
"time","-0.3","-0.25","1"
"mechanisms","-0.52","0.21","1"
"agent","-0.59","0.26","1"
"framework","-0.46","-0.35","1"
"patterns","-0.36","-0.73","1"
"expression","-0.43","1.12","1"
"cancer","-0.31","1.64","1"
"in.vivo","-0.3","1.64","1"
"network","0.26","-0.38","1"
"choice","-0.62","-0.81","1"
"algorithms","2.67","-0.19","2"
"resistance","-0.54","1.81","1"
"temperature","-0.56","1.09","1"
"mechanical.properties","-0.56","0.7","1"
"surface","-0.39","2","1"
"cells","-0.42","1.83","1"
"inhibition","-0.46","1.44","1"