"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"1989","1","3","0.0909090909090909","33"
"1990","1","16","0.5","32"
"1991","0","0","0","0"
"1992","2","7.5","0.25","30"
"1993","2","72","2.48275862068966","29"
"1994","5","6.6","0.235714285714286","28"
"1995","3","4.66666666666667","0.17283950617284","27"
"1996","4","8.25","0.317307692307692","26"
"1997","3","4","0.16","25"
"1998","4","44.5","1.85416666666667","24"
"1999","4","57.25","2.48913043478261","23"
"2000","4","67","3.04545454545455","22"
"2001","10","30.1","1.43333333333333","21"
"2002","10","41.1","2.055","20"
"2003","4","32.5","1.71052631578947","19"
"2004","11","42.7272727272727","2.37373737373737","18"
"2005","12","25.0833333333333","1.47549019607843","17"
"2006","18","45.8888888888889","2.86805555555556","16"
"2007","19","42.8947368421053","2.85964912280702","15"
"2008","22","42.3636363636364","3.02597402597403","14"